name,total_budget,total_revenue,total_return
Hugh Johnson,70000000.0,11263966.0,0.1609138
Marcos Martínez,70000000.0,104945765.0,1.4992252142857143
Kerry Conran,70000000.0,57958696.0,0.8279813714285714
Justin Chadwick,70000000.0,27330000.0,0.3904285714285714
Tony Goldwyn,69500000.0,6732980.0,0.0968774100719424
Jason Reitman,69000000.0,463551094.0,6.718131797101449
Costa-Gavras,69000000.0,31002958.0,0.4493182318840579
Wilson Yip,68618387.0,223418877.0,3.2559622393921908
Mark Pellington,68500000.0,81587894.0,1.1910641459854014
Kinka Usher,68000000.0,29762011.0,0.4376766323529412
Nikolaj Arcel,68000000.0,78594693.0,1.1558043088235297
Akiva Schaffer,68000000.0,92098393.0,1.3543881323529412
Nicholas Hytner,68000000.0,118896453.0,1.74847725
David Wain,68000000.0,116836067.0,1.718177455882353
Alain Chabat,67820000.0,173781914.0,2.5623992037746977
Jared Hess,67400000.0,155547399.0,2.3078249109792286
Torsten Künstler,67000000.0,0.0,0.0
Christof Wahl,67000000.0,0.0,0.0
Doug Lefler,67000000.0,25303038.0,0.3776572835820895
Benny Chan,66750000.0,33662874.0,0.5043127191011236
Arthur Hiller,66700000.0,290164803.0,4.350296896551725
Jonathan Kaplan,66075000.0,103911440.0,1.5726286795308362
Tom Vaughan,66000008.0,185134314.0,2.805065023628482
Mike Tollin,66000000.0,71971376.0,1.090475393939394
Gary McKendry,66000000.0,57777106.0,0.875410696969697
Greg Tiernan,66000000.0,178791100.0,2.7089560606060608
Atom Egoyan,65700000.0,14784836.0,0.2250355555555555
Todd Haynes,65550000.0,74964482.0,1.1436229138062548
David Lowery,65100000.0,160310836.0,2.4625320430107527
Jean-Marc Vallée,65000000.0,137088307.0,2.109050876923077
Michael J. Bassett,65000000.0,62383454.0,0.9597454461538462
Bruce Robinson,65000000.0,35390479.0,0.5444689076923077
Lawrence Kasanoff,65000000.0,73706.0,0.0011339384615384
Joan Chen,65000000.0,0.0,0.0
Phyllida Lloyd,65000000.0,724798336.0,11.150743630769233
Dan Bradley,65000000.0,44806783.0,0.6893351230769231
Rohit Shetty,64562000.0,148034000.0,2.292896750410458
Randal Kleiser,64500000.0,367809101.0,5.702466682170543
Fred Schepisi,64377992.0,81423321.0,1.264769503839138
Niki Caro,64000000.0,125496776.0,1.960887125
Amy Heckerling,64000000.0,382033996.0,5.9692811875
S.S. Rajamouli,63990000.0,349450000.0,5.4610095327394905
Mel Brooks,63447000.0,342368516.0,5.396134033130014
Brian Gibson,63000000.0,40996665.0,0.6507407142857143
Franklin J. Schaffner,62800000.0,176901990.0,2.816910668789809
John Boorman,62500000.0,168892130.0,2.70227408
Hideo Nakata,62200000.0,219059811.0,3.52186191318328
Albert Magnoli,62200000.0,131802432.0,2.119010160771704
Demian Lichtenstein,62000000.0,18720175.0,0.3019383064516129
Hayden Schlossberg,62000000.0,278482707.0,4.491656564516129
Jon Hurwitz,62000000.0,278482707.0,4.491656564516129
Marco Schnabel,62000000.0,41819064.0,0.6745010322580646
Christian Alvart,61900000.0,49645327.0,0.8020246688206785
S. Shankar,61800000.0,111500000.0,1.8042071197411005
Laurent Tirard,61000000.0,0.0,0.0
Ken Scott,61000000.0,65595359.0,1.0753337540983607
Lars von Trier,60900000.0,86034498.0,1.4127175369458127
Mike Judge,60000000.0,24171899.0,0.4028649833333333
Juan Diego Solanas,60000000.0,8106475.0,0.1351079166666666
Chad Stahelski,60000000.0,260301548.0,4.338359133333333
Jeff Newitt,60000000.0,118338361.0,1.9723060166666664
Babak Najafi,60000000.0,205754447.0,3.4292407833333334
Travis Knight,60000000.0,69929545.0,1.1654924166666667
Graham Annable,60000000.0,108255770.0,1.8042628333333333
John Wells,60000000.0,115678257.0,1.92797095
Akiva Goldsman,60000000.0,30800231.0,0.5133371833333333
Chris Noonan,60000000.0,289213151.0,4.820219183333333
Félix Enríquez Alcalá,60000000.0,16000000.0,0.2666666666666666
Robert Stevenhagen,60000000.0,50877145.0,0.8479524166666667
Chris Butler,60000000.0,107139399.0,1.78565665
Rupert Wainwright,60000000.0,96243164.0,1.6040527333333334
John Pasquin,60000000.0,189833357.0,3.1638892833333334
Patrick Gilmore,60000000.0,26288320.0,0.4381386666666667
William Malone,59824000.0,59748097.0,0.9987312282695908
James Ivory,59500000.0,89404112.0,1.5025901176470589
Oliver Parker,59000000.0,183320696.0,3.1071304406779663
Phil Joanou,59000000.0,73757378.0,1.2501250508474575
Werner Herzog,58378000.0,24572580.0,0.4209219226420912
Paolo Sorrentino,58035000.0,33422430.0,0.5759012664771259
Tim Miller,58000000.0,783112979.0,13.501947913793105
Sylvain White,58000000.0,99091123.0,1.7084676379310344
Billy Bob Thornton,58000000.0,24458957.0,0.4217061551724138
Anthony Hemingway,58000000.0,50365377.0,0.8683685689655173
Lewis Gilbert,57500000.0,507331559.0,8.823157547826087
Brian Trenchard-Smith,57280385.0,0.0,0.0
Nigel Cole,57200000.0,165759260.0,2.897889160839161
Tobe Hooper,57105000.0,165969535.0,2.9063923474301725
Kimberly Peirce,57000000.0,105142025.0,1.8445969298245612
Ringo Lam,57000000.0,60062200.0,1.053722807017544
Sean Penn,57000000.0,85846267.0,1.506074859649123
Marco Brambilla,57000000.0,159055768.0,2.7904520701754385
Peter Yates,56800000.0,130050337.0,2.289618609154929
Mike Hodges,56614462.0,55549966.0,0.9811974544596044
Richard C. Sarafian,56300000.0,72266306.0,1.283593357015986
Michael Hoffman,56000000.0,170663072.0,3.047554857142857
Emile Ardolino,56000000.0,447679418.0,7.994275321428572
Ronald F. Maxwell,56000000.0,37923936.0,0.6772131428571428
Wim Wenders,55974910.0,21885206.0,0.3909824240896501
Jaco Van Dormael,55555500.0,3547209.0,0.0638498258498258
Lone Scherfig,55245300.0,99805796.0,1.80659342966732
Bob Rafelson,55000030.0,50060229.0,0.9101854853533716
Elaine May,55000000.0,14375181.0,0.2613669272727272
Geoffrey Sax,55000000.0,157827470.0,2.869590363636364
Paul King,55000000.0,259288237.0,4.714331581818182
Steve Antin,55000000.0,89519773.0,1.6276322363636364
J.B. Rogers,55000000.0,287553595.0,5.2282471818181815
Robert Butler,55000000.0,11466088.0,0.2084743272727272
Willard Huyck,55000000.0,57228076.0,1.0405104727272727
Paul Mazursky,54515000.0,168342089.0,3.087995762634137
Mark L. Lester,54500000.0,95261153.0,1.7479110642201834
Trey Parker,54125000.0,50907422.0,0.940552831408776
Rod Daniel,54000000.0,241869161.0,4.479058537037037
Miguel Arteta,54000000.0,124371375.0,2.303173611111111
Deran Sarafian,54000000.0,33332387.0,0.617266425925926
Bob Clark,53970000.0,260880613.0,4.833807911802854
John Gray,53600000.0,0.0,0.0
Angela Robinson,53500000.0,66002004.0,1.233682317757009
J. Lee Thompson,53420000.0,66807898.0,1.2506158367652565
Fernando Meirelles,53300000.0,134617350.0,2.5256538461538462
Richard Kelly,53000000.0,34978796.0,0.6599772830188679
Patrick Read Johnson,53000000.0,32041078.0,0.604548641509434
John Rice,53000000.0,0.0,0.0
Isao Takahata,53000000.0,24186232.0,0.456344
Courtney Solomon,53000000.0,25687179.0,0.4846637547169811
Benny Boom,53000000.0,0.0,0.0
Camille Delamarre,53000000.0,141526499.0,2.6703113018867923
Jan Kounen,53000000.0,5753490.0,0.1085564150943396
Mick Garris,52500000.0,34338056.0,0.6540582095238096
Stewart Raffill,52000000.0,10219521.0,0.19652925
John Luessenhop,52000000.0,116297640.0,2.236493076923077
